country,variable,specification,adf_statistic,pvalue,lags_used,nobs,critical_1pct,critical_5pct,critical_10pct
Indonesia,depreciation,Constant,-3.9752469892485567,0.0015458180809273367,1,27,-3.6996079738860943,-2.9764303469999494,-2.627601001371742
Indonesia,depreciation,Const+Trend,-4.368176560464545,0.00245999635001783,1,27,-4.339881664888482,-3.5877977071584612,-3.2293340725499164
Malaysia,depreciation,Constant,-4.205753421591535,0.0006442791063750431,0,28,-3.6889256286443146,-2.9719894897959187,-2.6252957653061224
Malaysia,depreciation,Const+Trend,-4.191104118355479,0.004617444698691187,0,28,-4.3244664923469385,-3.580882474489796,-3.2254187317784258
Filipina,depreciation,Constant,-4.076917475805105,0.001057199542145813,0,28,-3.6889256286443146,-2.9719894897959187,-2.6252957653061224
Filipina,depreciation,Const+Trend,-3.0114716246350564,0.12890198023684946,1,27,-4.339881664888482,-3.5877977071584612,-3.2293340725499164
Singapura,depreciation,Constant,-3.5079709964176473,0.007784726312622748,0,28,-3.6889256286443146,-2.9719894897959187,-2.6252957653061224
Singapura,depreciation,Const+Trend,-3.5376491975442663,0.03553157190094511,0,28,-4.3244664923469385,-3.580882474489796,-3.2254187317784258
Thailand,depreciation,Constant,-3.928883950494325,0.0018322664218376888,0,28,-3.6889256286443146,-2.9719894897959187,-2.6252957653061224
Thailand,depreciation,Const+Trend,-4.03562025209566,0.007821108426580747,0,28,-4.3244664923469385,-3.580882474489796,-3.2254187317784258
Indonesia,corr_inv,Constant,-0.9380062023336194,0.7751989860565012,0,29,-3.6790595944893187,-2.9678817237279103,-2.6231583472057074
Indonesia,corr_inv,Const+Trend,-1.9150698335054746,0.6468245185351134,0,29,-4.31024911353479,-3.5744878842920986,-3.221793310508836
Malaysia,corr_inv,Constant,-3.245529534699757,0.017495950533967526,2,27,-3.6996079738860943,-2.9764303469999494,-2.627601001371742
Malaysia,corr_inv,Const+Trend,-3.380813451994272,0.054004649591019055,2,27,-4.339881664888482,-3.5877977071584612,-3.2293340725499164
Filipina,corr_inv,Constant,-1.567683241621365,0.49980392679886027,0,29,-3.6790595944893187,-2.9678817237279103,-2.6231583472057074
Filipina,corr_inv,Const+Trend,-2.498369869278657,0.3287777815018339,2,27,-4.339881664888482,-3.5877977071584612,-3.2293340725499164
Singapura,corr_inv,Constant,-1.0648669315300479,0.7288773538831259,0,29,-3.6790595944893187,-2.9678817237279103,-2.6231583472057074
Singapura,corr_inv,Const+Trend,-1.7123293245515387,0.7454226794490213,0,29,-4.31024911353479,-3.5744878842920986,-3.221793310508836
Thailand,corr_inv,Constant,-3.4916042409448615,0.008205351177144144,0,29,-3.6790595944893187,-2.9678817237279103,-2.6231583472057074
Thailand,corr_inv,Const+Trend,-3.721691307617017,0.02096796798029367,0,29,-4.31024911353479,-3.5744878842920986,-3.221793310508836
Indonesia,infl_diff,Constant,-3.2061917234325765,0.019629063787808546,7,22,-3.769732625845229,-3.005425537190083,-2.6425009917355373
Indonesia,infl_diff,Const+Trend,-2.671455563447615,0.248124560661456,7,22,-4.441609162283997,-3.632984327573253,-3.2547885800150262
Malaysia,infl_diff,Constant,-4.754039773884916,6.653442695500599e-05,0,29,-3.6790595944893187,-2.9678817237279103,-2.6231583472057074
Malaysia,infl_diff,Const+Trend,-4.93135680093677,0.0002738700728913511,0,29,-4.31024911353479,-3.5744878842920986,-3.221793310508836
Filipina,infl_diff,Constant,-3.6126543236304074,0.005523661986008955,0,29,-3.6790595944893187,-2.9678817237279103,-2.6231583472057074
Filipina,infl_diff,Const+Trend,-4.067039534108873,0.007045157798953226,0,29,-4.31024911353479,-3.5744878842920986,-3.221793310508836
Singapura,infl_diff,Constant,-3.398335945310337,0.011015730089765861,0,29,-3.6790595944893187,-2.9678817237279103,-2.6231583472057074
Singapura,infl_diff,Const+Trend,-3.4750123056365916,0.04214295957367501,0,29,-4.31024911353479,-3.5744878842920986,-3.221793310508836
Thailand,infl_diff,Constant,-2.5718257810569343,0.09896123060592471,1,28,-3.6889256286443146,-2.9719894897959187,-2.6252957653061224
Thailand,infl_diff,Const+Trend,-5.1272043676394885,0.00011993279181009529,0,29,-4.31024911353479,-3.5744878842920986,-3.221793310508836
Indonesia,ca_gdp,Constant,-2.1157970763096308,0.23821014379057037,0,29,-3.6790595944893187,-2.9678817237279103,-2.6231583472057074
Indonesia,ca_gdp,Const+Trend,-2.679613436450024,0.24464439452989178,0,29,-4.31024911353479,-3.5744878842920986,-3.221793310508836
Malaysia,ca_gdp,Constant,-2.777075039505878,0.061623787061515285,0,29,-3.6790595944893187,-2.9678817237279103,-2.6231583472057074
Malaysia,ca_gdp,Const+Trend,-2.2897704572810706,0.43961616739047404,5,24,-4.395041166087963,-3.6123930960648147,-3.243216493055556
Filipina,ca_gdp,Constant,-2.50699283254122,0.113782150940275,0,29,-3.6790595944893187,-2.9678817237279103,-2.6231583472057074
Filipina,ca_gdp,Const+Trend,-2.3820870963203076,0.3891843191296683,0,29,-4.31024911353479,-3.5744878842920986,-3.221793310508836
Singapura,ca_gdp,Constant,-3.7387081257137593,0.0036004853430529797,1,28,-3.6889256286443146,-2.9719894897959187,-2.6252957653061224
Singapura,ca_gdp,Const+Trend,-2.0225148981287533,0.5891173315393221,4,25,-4.3749647199999995,-3.6034675359999997,-3.23818632
Thailand,ca_gdp,Constant,-3.287562571545728,0.015443664549588457,0,29,-3.6790595944893187,-2.9678817237279103,-2.6231583472057074
Thailand,ca_gdp,Const+Trend,-3.1430003098309984,0.09636934763776467,0,29,-4.31024911353479,-3.5744878842920986,-3.221793310508836
Indonesia,reserves_moi,Constant,-3.4910790926450725,0.008219179494417188,1,28,-3.6889256286443146,-2.9719894897959187,-2.6252957653061224
Indonesia,reserves_moi,Const+Trend,-3.951848290099826,0.010281592891530293,1,28,-4.3244664923469385,-3.580882474489796,-3.2254187317784258
Malaysia,reserves_moi,Constant,-2.1743739901584562,0.21567731588028494,0,29,-3.6790595944893187,-2.9678817237279103,-2.6231583472057074
Malaysia,reserves_moi,Const+Trend,-1.7693936467401905,0.7193258628030658,0,29,-4.31024911353479,-3.5744878842920986,-3.221793310508836
Filipina,reserves_moi,Constant,-1.8462259950751734,0.3577650757367309,0,29,-3.6790595944893187,-2.9678817237279103,-2.6231583472057074
Filipina,reserves_moi,Const+Trend,-1.6415179223342882,0.7757553943432367,0,29,-4.31024911353479,-3.5744878842920986,-3.221793310508836
Singapura,reserves_moi,Constant,-3.495045774031227,0.008115244414422983,1,28,-3.6889256286443146,-2.9719894897959187,-2.6252957653061224
Singapura,reserves_moi,Const+Trend,-4.540637854927042,0.0012943055588527262,1,28,-4.3244664923469385,-3.580882474489796,-3.2254187317784258
Thailand,reserves_moi,Constant,-2.3126640362907613,0.16791609253410772,0,29,-3.6790595944893187,-2.9678817237279103,-2.6231583472057074
Thailand,reserves_moi,Const+Trend,-3.24206786619593,0.07634033832527616,5,24,-4.395041166087963,-3.6123930960648147,-3.243216493055556
Indonesia,gdp_growth,Constant,-4.251623282249431,0.0005381604869834301,0,29,-3.6790595944893187,-2.9678817237279103,-2.6231583472057074
Indonesia,gdp_growth,Const+Trend,-4.291704885100114,0.0032409647089278893,0,29,-4.31024911353479,-3.5744878842920986,-3.221793310508836
Malaysia,gdp_growth,Constant,-5.688700804525908,8.165434186138528e-07,0,29,-3.6790595944893187,-2.9678817237279103,-2.6231583472057074
